Document_ID,Cleaned_Data,Sentiment
Review 1,purchas product advertis fulli unlock insert him card work contract servic provid check me number report phone still lock origin carrier phone came good condit couldn use servic provid,Negetive
Review 2,feel bit skeptic place order prove wrong phone look brand new besid minim light scratch almost imposs notic batteri life still 100 also like screen protector phone,Neutral
Review 3,phone unlock could use,Negetive
Review 4,screen came crack pop frame hope return process goe smoothli,Neutral
Review 5,care mine scratch screen small still use peopl dont want use phone scratch,Neutral
Review 6,best experi ever buy renew phone phone came origin box origin charg cabl phone look excel one scratch absolut beauti batteri health 100 definit recommend seller gooverstock definit buy,Positive
Review 7,fought longest time final gave upgrad phone 11 phone 7 look place onlin price way price point felt comfort buy phone amazon terrifi refurbish in still happi,Positive
Review 8,box didn come ear phone phone kept turn set ape delet they quit shut,Neutral
Review 9,medium could load anna tell everybodi scar phone amaz great batteri life face id everyth unfortun mine didn come phone box much worri come w charg plea get phone dont let review scare month review phone updat brand new unlock in hair cricket everyth transfer easili,Negetive
Review 10,work well far look new,Positive
Review 11,phone came big stuff corner aluminium frame small realli notic scratch front back phone got 64 go product red unlock phone 11 believ horizon unlock phone phone came phone 11 appl box origin appl charg origin appl brick set phone put mobil him phone start work data need get activ anyth,Neutral
Review 12,phone start that sad phone look like new,Positive
Review 13,receiv phone day earli came exactli imagin littl nervou buy refurbish phone internet truli complaint phone came perfect like new condit work great carrier generalcam charg charg block mention descript also came screen protector alreadi put screen awesom much appreci touch there also 60 day warranti free return case someth happen incred plea would definit recommend anyon,Positive
Review 14,disappoint purchas price brand new appl phone phone 2 deep scratch screen come earphon appl charg cord although stick say appl charg also never abl instal cloud,Negetive
Review 15,use phone long time need new one saw onlin good price dont complaint work great camera qualiti amaz came charg come headphon come classic phone pack didn bug peopl might care definit recommend want headphon id buy separ,Positive
Review 16,amazon renew phone expect minor cosmet issu describ howev decent size mark volum button volum button function properli contract amazon seller gotten resolv,Neutral
Review 17,dont trust refurbish phone teach exchang ear speaker phone work turn phone speaker phone make phone call tri take speakerphon hear marbl voic lot static understand everi with word today tri make phone call speakerphon everi time push one number dial number pack made realli loud highpitch tone hit side button tri shut sound screen went black still make weird highpitch sound end stop 3045 second annoy final shut phone complet turn back point abl make call speakerphon give never problem like refurbish phone chat amazon told handl seller suppos call provid repaid label return discus replac phone return polici say return phone two week give refund money anoth two week order differ phone want say final receiv call refund process promptli,Negetive
Review 18,haven phone 2 week power button isn work seller isn respond,Negetive
Review 19,phone ship today deliveri box insid foot bag came open foot bag untouch presum complet close seal bag phone came scratch sign usag screen protector nice touch genet terrifi u cabl charg earphon describ batteri life 100 far look work good in littl concern get quit hot back path believ 63999 still high price refurbish want replac genet stuff purchas origin charg cabl earpod connect total price go beyond brand new phone,Positive
Review 20,great product look work exactli like new,Positive
Review 21,fulli unlock compat carrier choic fals statement add amazon receiv phone paper insid box say compat spring boost mobil happen use one carrier rather ea into alreadi transfer old phone new phone fail phone back chose switch carrier addit pain buyspri end never purchas,Negetive
Review 22,medium could load purchas phone 11 said unlock alway own unlock phone never troubl live guatemala phone 11 work day sudden stop recogn him card see video issu him card work old unlock phone 8 sinc u lost almost 600 bewar dont buy product complet scar,Negetive
